poll_info,year,state,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key,candidate,pct,party_group
2012-maryland-president-romney-vs-obama,2012,maryland,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None,40,2012_15463_maryland,Undecided,10,Undecided
2012-maryland-president-romney-vs-obama,2012,maryland,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None,40,2012_15463_maryland,Other,NA,Other
2012-maryland-president-romney-vs-obama,2012,maryland,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,44,2012_15325_maryland,Obama,55,Democrat
2012-maryland-president-romney-vs-obama,2012,maryland,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,44,2012_15325_maryland,Romney,36,Republican
2012-maryland-president-romney-vs-obama,2012,maryland,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,44,2012_15325_maryland,Undecided,8,Undecided
2012-maryland-president-romney-vs-obama,2012,maryland,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,44,2012_15325_maryland,Other,1,Other
2012-maryland-president-romney-vs-obama,2012,maryland,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,53,2012_15229_maryland,Obama,57,Democrat
2012-maryland-president-romney-vs-obama,2012,maryland,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,53,2012_15229_maryland,Romney,37,Republican
2012-maryland-president-romney-vs-obama,2012,maryland,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,53,2012_15229_maryland,Undecided,3,Undecided
2012-maryland-president-romney-vs-obama,2012,maryland,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,53,2012_15229_maryland,Other,3,Other
