poll_info,year,state,Obama,Romney,Undecided,Other,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key
2012-new-york-president-romney-vs-obama,2012,new-york,59,35,6,NA,14068,Siena,2012-06-03,2012-06-06,Registered Voters,807,Live Phone,Nonpartisan,None,153,2012_14068_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,56,31,8,2,13968,Quinnipiac,2012-05-22,2012-05-28,Registered Voters,1504,Live Phone,Nonpartisan,None,162,2012_13968_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,57,37,6,NA,13797,Siena,2012-05-06,2012-05-10,Registered Voters,766,Live Phone,Nonpartisan,None,180,2012_13797_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,57,35,8,NA,13554,Marist,2012-04-10,2012-04-12,Registered Voters,632,Live Phone,Nonpartisan,None,208,2012_13554_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,60,35,5,NA,13492,Siena,2012-04-01,2012-04-04,Registered Voters,808,Live Phone,Nonpartisan,None,216,2012_13492_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,56,33,10,2,13439,Quinnipiac,2012-03-28,2012-04-02,Registered Voters,1597,Live Phone,Nonpartisan,None,218,2012_13439_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,60,34,6,NA,13321,Siena,2012-02-26,2012-02-29,Registered Voters,808,Live Phone,Nonpartisan,None,251,2012_13321_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,52,35,7,2,13146,Quinnipiac,2012-02-08,2012-02-13,Registered Voters,1233,Live Phone,Nonpartisan,None,267,2012_13146_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,63,31,6,NA,13322,Siena,2012-01-29,2012-02-01,Registered Voters,807,Live Phone,Nonpartisan,None,279,2012_13322_new-york
2012-new-york-president-romney-vs-obama,2012,new-york,58,35,7,NA,13455,Marist,2012-01-18,2012-01-19,Registered Voters,554,Live Phone,Nonpartisan,None,292,2012_13455_new-york
